address_id,name,lat,lon,building_matched,structure_hint,hint_confidence,hint_signals,class_source,footprint_area_m2,elongation_ratio,perimeter_complexity,floor_count_est,footprint_source,footprint_match_distance_m
addr_1017,pl00001528821515,46.81160277807724,-100.8104694445664,True,MDU,0.75,['area_or_shape'],RULE,377.12,1.124,1.154,1.0,ms,7.69
addr_1018,pl00001528824367,46.81377222232399,-100.8108694445995,True,SFU,0.8,['ml'],ML,98.1,1.07,1.0,1.0,ms,7.79
addr_1019,pl00001528824317,46.81408888868533,-100.8153333331464,True,MDU,0.75,['area_or_shape'],RULE,472.76,1.223,1.054,1.0,ms,37.56
addr_1020,pl00001528824392,46.81475277790836,-100.8124333333557,True,MDU,0.75,['area_or_shape'],RULE,519.36,1.198,1.068,1.0,ms,13.77
addr_1021,pl00001528824386,46.81451944433442,-100.8139861108502,True,MDU,0.75,['area_or_shape'],RULE,422.5,1.053,1.13,1.0,ms,25.19
addr_1022,pl00001528824391,46.81480277778424,-100.8126472222249,True,MDU,0.75,['area_or_shape'],RULE,460.55,1.089,1.134,1.0,ms,34.16
addr_1023,pl00001528824319,46.81444444441535,-100.8153250003739,True,MDU,0.75,['area_or_shape'],RULE,523.22,1.429,1.128,1.0,ms,24.83
addr_1024,pl00001528824390,46.81485555575632,-100.8131722219314,True,SFU,0.8,['ml'],ML,272.48,1.015,1.0,1.0,ms,34.89
addr_1025,pl00001528824389,46.81488611101241,-100.8136916664563,True,SFU,0.8,['ml'],ML,160.23,1.059,1.0,1.0,ms,21.24
addr_1026,pl00001528824387,46.81490277801139,-100.814002778192,True,MDU,0.75,['area_or_shape'],RULE,464.98,1.047,1.072,1.0,ms,23.68
addr_1027,pl00001528824318,46.81498055542745,-100.8153194442938,True,MDU,0.75,['area_or_shape'],RULE,500.02,1.237,1.041,1.0,ms,21.42
addr_1028,pl00001528824388,46.8153527776545,-100.8140222222263,True,MDU,0.75,['area_or_shape'],RULE,735.9,1.445,1.0,1.0,ms,19.61
addr_1029,pl00001528824403,46.815688888786,-100.8122194444866,True,MDU,0.75,['area_or_shape'],RULE,528.9,1.167,1.071,1.0,ms,13.41
addr_1030,pl00001528824402,46.81576944439,-100.812722222568,True,MDU,0.75,['area_or_shape'],RULE,471.94,1.671,1.039,1.0,ms,17.74
addr_1031,pl00001528824320,46.81539444447333,-100.8153333331464,True,MDU,0.75,['area_or_shape'],RULE,600.64,1.257,1.097,1.0,ms,23.53
addr_1032,pl00001528824405,46.81569166688546,-100.814027777408,True,MDU,0.75,['area_or_shape'],RULE,620.18,1.84,1.035,1.0,ms,17.43
addr_1033,pl00001528824401,46.81591111108233,-100.8136583335694,True,MDU,0.75,['area_or_shape'],RULE,411.95,1.558,1.0,1.0,ms,34.31
addr_1034,pl00001528824321,46.81576666690939,-100.8153277779647,True,MDU,0.75,['area_or_shape'],RULE,511.89,1.113,1.082,1.0,ms,29.74
addr_1035,pl00001528824404,46.8160611110282,-100.8139944445211,True,MDU,0.75,['area_or_shape'],RULE,579.01,1.046,1.076,1.0,ms,10.56
addr_1036,pl00001528824322,46.81614444415066,-100.8153222218847,True,MDU,0.75,['area_or_shape'],RULE,498.84,1.033,1.08,1.0,ms,36.69
addr_1037,pl00001528824650,46.81689722247024,-100.8114972223544,True,MDU,0.75,['area_or_shape'],RULE,536.14,1.032,1.041,1.0,ms,28.71
addr_1038,pl00001528824644,46.8167249998787,-100.8127250001588,True,SFU,0.8,['ml'],ML,278.83,1.706,1.0,1.0,ms,27.85
addr_1039,pl00001528824649,46.81700277793988,-100.8117472225996,True,MDU,0.75,['area_or_shape'],RULE,536.14,1.032,1.041,1.0,ms,24.88
addr_1040,pl00001528824643,46.81692777779572,-100.8125638891092,True,MDU,0.75,['area_or_shape'],RULE,447.77,1.191,1.063,1.0,ms,24.95
addr_1041,pl00001528824323,46.81650555531463,-100.8153083330321,True,MDU,0.75,['area_or_shape'],RULE,567.41,1.143,1.152,1.0,ms,29.18
addr_1042,pl00001528824648,46.8171166666654,-100.8120888887331,True,MDU,0.75,['area_or_shape'],RULE,338.83,1.332,1.0,1.0,ms,32.16
addr_1043,pl00001528824406,46.81681666671143,-100.8139861108502,True,MDU,0.75,['area_or_shape'],RULE,446.37,1.839,1.0,1.0,ms,13.17
addr_1044,pl00001528824645,46.81713611099789,-100.8125638891092,True,MDU,0.75,['area_or_shape'],RULE,447.77,1.191,1.063,1.0,ms,20.9
addr_1045,pl00001528810201,46.81715277791425,-100.8131194441119,True,MDU,0.75,['area_or_shape'],RULE,447.77,1.191,1.063,1.0,ms,16.01
addr_1046,pl00001528810202,46.81715277791425,-100.8137805556519,True,MDU,0.75,['area_or_shape'],RULE,449.94,1.203,1.045,1.0,ms,20.06
addr_1047,pl00001528824324,46.8168888889731,-100.8153083330321,True,MDU,0.75,['area_or_shape'],RULE,827.69,1.599,1.074,1.0,ms,17.74
addr_1048,pl00001528824646,46.8174499998288,-100.8125805555527,True,MDU,0.75,['area_or_shape'],RULE,464.08,1.266,1.0,1.0,ms,24.99
addr_1049,pl00001528824407,46.81745277783725,-100.8138083333572,True,MDU,0.75,['area_or_shape'],RULE,499.43,1.185,1.061,1.0,ms,20.8
addr_1050,pl00001528824325,46.81719999999627,-100.8153138891121,True,MDU,0.75,['area_or_shape'],RULE,378.68,1.316,1.052,1.0,ms,21.77
addr_1051,pl00001528824647,46.81771944446471,-100.8126305557814,True,MDU,0.75,['area_or_shape'],RULE,550.62,1.962,1.0,1.0,ms,7.15
addr_1052,pl00001528824408,46.81769444435169,-100.813811110948,True,MDU,0.75,['area_or_shape'],RULE,499.43,1.185,1.061,1.0,ms,16.1
addr_1053,pl00001528824420,46.81811944469261,-100.8115694442083,True,MDU,0.75,['area_or_shape'],RULE,2324.91,2.716,1.026,1.0,ms,18.24
addr_1054,pl00001528810200,46.81822777757559,-100.8116055555844,True,MDU,0.75,['area_or_shape'],RULE,570.57,1.185,1.039,1.0,ms,34.28
addr_1055,pl00001528824326,46.81760277778583,-100.8153138891121,True,MDU,0.75,['area_or_shape'],RULE,459.37,1.322,1.046,1.0,ms,31.31
addr_1056,pl00001528824419,46.81829722243619,-100.8116611109948,True,MDU,0.75,['area_or_shape'],RULE,570.57,1.185,1.039,1.0,ms,38.33
addr_1057,pl00001528824409,46.81797500030419,-100.8138333334715,True,MDU,0.75,['area_or_shape'],RULE,638.44,1.447,1.046,1.0,ms,33.86
